date,lat,lng,unit,type_of_btg,country
2022-06-13,46.833806,32.762059,U/I Reserve Unit (DPR),tank,ru
2022-06-13,47.117328,33.229056,126th Separate Guards Coastal Defense Brigade,motor_rifle,ru
2022-06-13,47.072280,32.813554,11th Separate Guards Air Assault Brigade,vdv,ru
2022-06-13,47.164451,33.045488,11th Separate Guards Air Assault Brigade,vdv,ru
2022-06-13,47.108293,33.097635,127th Separate Reconnaissance Brigade,motor_rifle,ru
2022-06-13,47.332328,33.783679,205th Separate Motorized Rifle Brigade,motor_rifle,ru
2022-06-13,47.429140,33.441712,34th Separate Motorized Rifle Brigade,motor_rifle,ru
2022-06-13,47.239502,33.261631,56th Guards Air Assault Regiment,vdv,ru
2022-06-13,46.777422,32.581485,33rd Guards Motorized Rifle Regiment,motor_rifle,ru
2022-06-13,47.346421,33.357199,7th Guards Air Assault Division,vdv,ru
2022-06-13,46.677302,32.444217,255th Guards Motorized Rifle Regiment,motor_rifle,ru
