strength,unit,unitnumber,subordinate_to,wikidata,wikipedia
Army,1st Guards Tank Army,1,Western Military District,Q162559,https://en.wikipedia.org/wiki/1st_Guards_Tank_Army
Army,20th Combined Arms Army,20,Western Military District,Q4029914,https://en.wikipedia.org/wiki/20th_Guards_Combined_Arms_Army
Army,2nd Guards Combined Arms Army,2,Central Military District,Q4029882,https://en.wikipedia.org/wiki/2nd_Guards_Tank_Army
Army,35th Combined Arms Army,35,Eastern Military District,Q25182460,https://en.wikipedia.org/wiki/35th_Combined_Arms_Army
Army,36th Combined Arms Army,36,Eastern Military District,Q16486386,https://en.wikipedia.org/wiki/36th_Combined_Arms_Army
Army,41st Combined Arms Army,41,Central Military District,Q4031318,https://en.wikipedia.org/wiki/41st_Combined_Arms_Army
Army,49th Combined Arms Army,49,Southern Military District,Q4031542,https://en.wikipedia.org/wiki/49th_Combined_Arms_Army
Army,58th Combined Arms Army,58,Southern Military District,Q244693,https://en.wikipedia.org/wiki/58th_Combined_Arms_Army
Army,6th Combined Arms Army,6,Western Military District,Q2651982,https://en.wikipedia.org/wiki/6th_Combined_Arms_Army
Army,8th Guards Combined Arms Army,8,Southern Military District,Q2495312,https://en.wikipedia.org/wiki/8th_Guards_Combined_Arms_Army
Brigade,155th Separate Guards Naval Infantry Brigade,155,Pacific Fleet,,
Brigade,11th Separate Guards Air Assault Brigade,11,49th Combined Arms Army,Q18394938,https://en.wikipedia.org/wiki/11th_Guards_Air_Assault_Brigade
Brigade,126th Separate Guards Coastal Defense Brigade,126,49th Combined Arms Army,,
Brigade,138th Separate Guards Motorized Rifle Brigade,138,6th Combined Arms Army,,
Brigade,200th Separate Motorized Rifle Brigade,200,6th Combined Arms Army,Q720163,https://en.wikipedia.org/wiki/200th_Separate_Motor_Rifle_Brigade
Brigade,205th Separate Motorized Rifle Brigade,205,22nd Army Corps,,
Brigade,21st Separate Guards Motorized Rifle Brigade,21,2nd Combined Arms Army,Q25630228,https://en.wikipedia.org/wiki/21st_Guards_Motor_Rifle_Brigade
Brigade,25th Separate Guards Motorized Rifle Brigade,25,6th Combined Arms Army,,
Brigade,34th Separate Motorized Rifle Brigade,34,22nd Army Corps,,
Brigade,35th Separate Guards Motorized Rifle Brigade,35,41st Combined Arms Army,,
Brigade,36th Separate Guards Motorized Rifle Brigade,36,29th Combined Arms Army,Q28650607,https://en.wikipedia.org/wiki/36th_Guards_Motor_Rifle_Brigade
Brigade,37th Separate Guards Motorized Rifle Brigade,37,36th Combined Arms Army,,
Brigade,38th Separate Motorized Rifle Brigade,38,35th Combined Arms Army,,
Brigade,45th Separate Guards Special Purpose Brigade,45,35th Combined Arms Army,Q4031442,https://en.wikipedia.org/wiki/45th_Guards_Spetsnaz_Brigade
Brigade,4th Separate Motorized Rifle Brigade,4,2nd Army Corps (Luhansk),,
Brigade,5th Separate Guards Tank Brigade,5,36th Combined Arms Army,,
